PLAYER_NAME,season,PLAYER_ID,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds),age,player_height,player_weight,injuries,salary
Nicolas Batum,2017,201587,4.151515151515151,10.0,1.4090909090909092,4.196969696969697,1.6515151515151516,1.9848484848484849,0.8636363636363636,3.772727272727273,4.636363636363637,5.318181818181818,0.9848484848484849,0.36363636363636365,2.0,1.106060606060606,11.363636363636363,0.0,274.0,660.0,93.0,277.0,109.0,131.0,57.0,249.0,306.0,351.0,65.0,24.0,132.0,73.0,750.0,0.0,66,1822.121212121212,120260.0,29.0,203.2,90.7184,8,22434783
Omri Casspi,2010,201956,3.155844155844156,7.701298701298701,1.2857142857142858,3.4805194805194803,1.025974025974026,1.5064935064935066,1.0129870129870129,3.4805194805194803,4.4935064935064934,1.12987012987013,0.7402597402597403,0.22077922077922077,0.961038961038961,1.6623376623376624,8.623376623376624,-1.9295774647887325,243.0,593.0,99.0,268.0,79.0,116.0,78.0,268.0,346.0,87.0,57.0,17.0,74.0,128.0,664.0,-137.0,77,1328.3376623376623,102282.0,23.0,205.74,102.0582,0,1254480
Omri Casspi,2011,201956,2.6363636363636362,6.409090909090909,0.8333333333333334,2.606060606060606,1.121212121212121,1.6666666666666667,0.9848484848484849,2.5454545454545454,3.5303030303030303,1.0151515151515151,0.5606060606060606,0.3333333333333333,1.0,1.7575757575757576,7.2272727272727275,-4.630769230769231,174.0,423.0,55.0,172.0,74.0,110.0,65.0,168.0,233.0,67.0,37.0,22.0,66.0,116.0,477.0,-301.0,66,1219.8939393939395,80513.0,24.0,205.74,102.0582,1,1341960
Omri Casspi,2012,201956,1.5319148936170213,3.74468085106383,0.6382978723404256,1.872340425531915,0.46808510638297873,0.9148936170212766,0.46808510638297873,2.127659574468085,2.595744680851064,0.6382978723404256,0.574468085106383,0.2553191489361702,0.5531914893617021,0.9787234042553191,4.170212765957447,-1.0930232558139534,72.0,176.0,30.0,88.0,22.0,43.0,22.0,100.0,122.0,30.0,27.0,12.0,26.0,46.0,196.0,-47.0,47,642.9574468085107,30219.0,25.0,205.74,102.0582,3,2277306
Omri Casspi,2013,201956,2.6794871794871793,6.089743589743589,0.9487179487179487,2.6923076923076925,1.1666666666666667,1.7179487179487178,0.782051282051282,3.0128205128205128,3.7948717948717947,1.2692307692307692,0.5897435897435898,0.20512820512820512,1.0384615384615385,1.5128205128205128,7.4743589743589745,2.0704225352112675,209.0,475.0,74.0,210.0,91.0,134.0,61.0,235.0,296.0,99.0,46.0,16.0,81.0,118.0,583.0,147.0,78,988.8461538461538,77130.0,26.0,205.74,102.0582,12,947907
Omri Casspi,2014,201956,3.0985915492957745,6.436619718309859,0.5211267605633803,1.3943661971830985,2.1971830985915495,3.028169014084507,0.7746478873239436,3.0704225352112675,3.8450704225352115,1.4647887323943662,0.43661971830985913,0.15492957746478872,1.380281690140845,1.6056338028169015,8.915492957746478,-3.056338028169014,220.0,457.0,37.0,99.0,156.0,215.0,55.0,218.0,273.0,104.0,31.0,11.0,98.0,114.0,633.0,-217.0,71,1263.4225352112676,89703.0,27.0,205.74,102.0582,3,1063384
Omri Casspi,2015,201956,4.243243243243243,8.878378378378379,1.554054054054054,3.810810810810811,1.4324324324324325,2.2027027027027026,0.7837837837837838,5.04054054054054,5.824324324324325,1.337837837837838,0.7567567567567568,0.22972972972972974,1.4054054054054055,2.1486486486486487,11.472972972972974,-0.0945945945945946,314.0,657.0,115.0,282.0,106.0,163.0,58.0,373.0,431.0,99.0,56.0,17.0,104.0,159.0,849.0,-7.0,74,1589.081081081081,117592.0,28.0,205.74,102.0582,3,3000000
Omri Casspi,2016,201956,2.282051282051282,4.82051282051282,0.5128205128205128,1.3333333333333333,0.5128205128205128,0.8717948717948718,0.7435897435897436,2.4358974358974357,3.1794871794871793,1.0256410256410255,0.717948717948718,0.07692307692307693,0.9230769230769231,1.3846153846153846,5.589743589743589,-2.58974358974359,89.0,188.0,20.0,52.0,20.0,34.0,29.0,95.0,124.0,40.0,28.0,3.0,36.0,54.0,218.0,-101.0,39,1070.2564102564102,41740.0,29.0,205.74,102.0582,8,3000000
Omri Casspi,2016,201956,2.282051282051282,4.82051282051282,0.5128205128205128,1.3333333333333333,0.5128205128205128,0.8717948717948718,0.7435897435897436,2.4358974358974357,3.1794871794871793,1.0256410256410255,0.717948717948718,0.07692307692307693,0.9230769230769231,1.3846153846153846,5.589743589743589,-2.58974358974359,89.0,188.0,20.0,52.0,20.0,34.0,29.0,95.0,124.0,40.0,28.0,3.0,36.0,54.0,218.0,-101.0,39,1070.2564102564102,41740.0,29.0,205.74,102.0582,8,138414
Omri Casspi,2017,201956,2.25,3.857142857142857,0.17857142857142858,0.4107142857142857,0.8928571428571429,1.2321428571428572,0.5535714285714286,3.125,3.6785714285714284,1.0178571428571428,0.35714285714285715,0.39285714285714285,0.7321428571428571,1.4107142857142858,5.571428571428571,1.1071428571428572,126.0,216.0,10.0,23.0,50.0,69.0,31.0,175.0,206.0,57.0,20.0,22.0,41.0,79.0,312.0,62.0,56,825.25,46214.0,30.0,205.74,102.0582,5,1471382
Tyler Johnson,2014,204020,2.303030303030303,5.454545454545454,0.5757575757575758,1.5151515151515151,1.0909090909090908,1.6666666666666667,0.45454545454545453,2.121212121212121,2.5757575757575757,1.3333333333333333,1.121212121212121,0.2727272727272727,1.0,1.4242424242424243,6.2727272727272725,-1.7272727272727273,76.0,180.0,19.0,50.0,36.0,55.0,15.0,70.0,85.0,44.0,37.0,9.0,33.0,47.0,207.0,-57.0,33,1162.2424242424242,38354.0,23.0,190.5,86.18248,0,507336
